DEVICE S/N: 153210001
DEVICE SW: 2.2.604
PATIENT ID: PID-000001-000157
CCT: 460
KMax: 71.7
Sph: 0
Cyl: -6.75
Axis: 160
[SENSOR] 
P0: -0.0479
P1: 0.0208
P2: -1.5e-07
P3: 0
[END-SENSOR] 
TREATMENT ID: TID-000001-000276
RIBOSCORE: 0.70 
THERASCORE: 0.94 

TIME (s) 	PHASE    	CBIT                          	IONTOPH  	IONTOCURR	IONTOVOLT	UV SENSOR	UV-A LED 	UV-A CURR	POWER DNS	BLUE LED 	GREEN LED	GREEN CH 	CONC     	EFFICACY 
930      	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	1        	1        	190.9292891	59.5809005	0.4190497
960      	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	1        	1        	201.0890669	59.5809005	0.4190497
990      	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	1        	1        	202.4134551	59.5809005	0.4190497
1020     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	0        	66.9754157	11.0000000	0        	1        	0.0041260	59.5809005	0.4190497
1024     	4 (meas) 	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	0        	1        	29.6150957	50.8729448	0.6683078
1050     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.8779261	11.0000000	1        	1        	206.3939214	50.8729448	0.6683078
1080     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.8779261	11.0000000	1        	1        	199.5628528	50.8729448	0.6683078
1110     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	67.0729054	11.0000000	1        	1        	199.9834147	50.8729448	0.6683078
1140     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	1        	1        	197.4122774	50.8729448	0.6683078
1170     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.8779261	11.0000000	1        	1        	211.0342346	50.8729448	0.6683078
1200     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	0        	66.8779261	11.0000000	0        	1        	0.0041260	50.8729448	0.6683078
1204     	4 (meas) 	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.8779261	11.0000000	0        	1        	26.3027521	47.3271457	0.7844285
1230     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.8779261	11.0000000	1        	1        	202.5472746	47.3271457	0.7844285
1260     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	1        	1        	208.3631631	47.3271457	0.7844285
1290     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.8779261	11.0000000	1        	1        	191.0711739	47.3271457	0.7844285
1320     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	1        	1        	188.9448916	47.3271457	0.7844285
1350     	4        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.8779261	11.0000000	1        	1        	207.7646543	47.3271457	0.7844285
1374     	4 (meas) 	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	0        	1        	21.7612726	42.9934666	0.9436389
1379     	4 (stop I)	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	519      	1        	66.9754157	11.0000000	1        	1        	207.8930564	42.9934666	0.9436389
1380     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	0.0059129	42.9934666	0.9436389
1410     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	22.8832287	42.9934666	0.9436389
1440     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	11.8689013	42.9934666	0.9436389
1470     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	32.7927486	42.9934666	0.9436389
1500     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	0.0385881	42.9934666	0.9436389
1530     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	3.5858140	42.9934666	0.9436389
1560     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	5.9858270	42.9934666	0.9436389
1590     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	33.9081067	42.9934666	0.9436389
1620     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	28.1145296	42.9934666	0.9436389
1650     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	28.4868300	42.9934666	0.9436389
1680     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	28.0492280	42.9934666	0.9436389
1710     	1        	00 00 00 00 00 00 00 00 00 00 	0        	0.0000000	0.0000000	0        	0        	0.0000000	11.0000000	1        	1        	29.4504999	42.9934666	0.9436389
---end of file---
-
-
